seq,lob_time,t_send,t_reflex,t_fpga,latency_gap_ns,reflex_act,fpga_score,final_dec
263,34217.205484251,164285148503326,164285148515810,0,-1,TAKE_LIQUIDITY,0.0,BUY
264,34217.205625508,164285168528155,164285168544736,0,-1,TAKE_LIQUIDITY,0.0,BUY
265,34217.205625508,164285188566780,164285188596556,0,-1,TAKE_LIQUIDITY,0.0,BUY
266,34217.205639049,164285208608650,164285208641953,0,-1,TAKE_LIQUIDITY,0.0,BUY
267,34217.205745954,164285228648848,164285228679475,0,-1,TAKE_LIQUIDITY,0.0,BUY
268,34217.205932482,164285248683776,164285248710195,0,-1,TAKE_LIQUIDITY,0.0,BUY
269,34217.206561301,164285268705358,164285268720747,0,-1,TAKE_LIQUIDITY,0.0,BUY
270,34217.20671967,164285288731449,164285288750675,0,-1,TAKE_LIQUIDITY,0.0,BUY
271,34217.20671967,164285308758632,164285308778690,0,-1,TAKE_LIQUIDITY,0.0,BUY
272,34217.224371313,164285328776368,164285328788220,0,-1,TAKE_LIQUIDITY,0.0,BUY
273,34218.299262015,164285348802098,164285348821284,0,-1,TAKE_LIQUIDITY,0.0,BUY
274,34218.299262015,164285368820565,164285368832778,0,-1,TAKE_LIQUIDITY,0.0,BUY
275,34218.299372333,164285388852547,164285388878526,0,-1,TAKE_LIQUIDITY,0.0,BUY
276,34218.457787528,164285408871665,164285408884239,0,-1,TAKE_LIQUIDITY,0.0,BUY
277,34218.457910779,164285428883970,164285428893689,0,-1,TAKE_LIQUIDITY,0.0,BUY
278,34219.279164832,164285448896546,164285448905553,0,-1,TAKE_LIQUIDITY,0.0,BUY
279,34219.320087956,164285468908180,164285468916536,0,-1,TAKE_LIQUIDITY,0.0,BUY
280,34219.517076244,164285488927779,164285488943038,0,-1,TAKE_LIQUIDITY,0.0,BUY
281,34219.517076244,164285508938822,164285508945845,0,-1,TAKE_LIQUIDITY,0.0,BUY
282,34219.517076244,164285528950927,164285528959373,0,-1,TAKE_LIQUIDITY,0.0,BUY
283,34219.517076244,164285548960707,164285548968281,0,-1,TAKE_LIQUIDITY,0.0,BUY
284,34219.51720018,164285568977912,164285568987640,0,-1,TAKE_LIQUIDITY,0.0,BUY
285,34219.517301103,164285588988764,164285588996368,0,-1,TAKE_LIQUIDITY,0.0,BUY
286,34219.517343909,164285609003644,164285609012851,0,-1,TAKE_LIQUIDITY,0.0,BUY
287,34219.517476892,164285629017021,164285629026920,0,-1,TAKE_LIQUIDITY,0.0,BUY
288,34219.517746191,164285649036069,164285649050326,0,-1,TAKE_LIQUIDITY,0.0,BUY
